,Unnamed: 0,categories,text
22,22.0,Africa,"
			Mínísítà Fún Ilẹ̀ Àjòjì Ti Orílè-èdè France Lọ Sí Orílẹ̀-èdè Ivory Coast Fún Ìfọ̀rọ̀wérọ̀		. 
    
				 

Mínísítà fún Ilẹ̀ àjòjì ti Orílẹ̀-èdè France, Catherine Colonna ti lọ sí Orílẹ̀-èdè Ivory Coast fún Ìfọ̀rọ̀wérọ̀ pẹ̀lú ààrẹ Alassane Ouattara àti ìjọba rẹ̀ lórí etyo ààbò àti okòwò.

 

Nígbàtí ó ń sọ̀rọ̀ ní olú ìlú náà,…			"
24,24.0,Africa,"
			Ife Àgbáyé FIFA: Ààrẹ Orílẹ̀-èdè Nàìjíríà gbóríyìn fún àwọn ẹgbẹ́ agbábọ̀ọ̀lù Morocco		. 
    
				Ààrẹ Muhammadu Buhari ti ki ẹgbẹ agbabọọlu Morocco, Atlas Lions àti Olórí orílẹ̀-èdè yìí, Ọba Mohammed VI fún fífi ìtàn rere lélè nípa jíjẹ́ ẹgbẹ agbabọọlu orílẹ̀-èdè Áfíríkà akọkọ ti o yege fún ìdíje àgbáyé.

Ààrẹ Buhari sọ pe Ìlú…			"
26,26.0,World,"
			Ààrẹ Buhari Yóò Darapọ̀ Pẹ̀lú Àwọn Akẹgbẹ Rẹ̀ Ní Orílẹ̀-èdè America		. 
    
				Ààrẹ Muhammadu Buhari yóò lọ sí ìlú Washington ní orílẹ̀-èdè Amẹ́ríkà lọ́jọ́ Àìkú, ọjọ́ kọkànlá oṣù December láti lọ dára pọ̀ mọ́ àwọn aṣáájú ilẹ̀ Áfíríkà míràn níbi ìpàdé àwọn aṣáájú orílẹ̀-èdè Amẹ́ríkà àti Áfíríkà.

 Ìpàdé gíga náà…			"
28,28.0,Africa,"
			Abẹ́rẹ́ Èbólà Dé Sí Uganda Fún Ìdánrawò		. 
    
				 

Orílẹ̀-èdè Uganda ti ri ẹgbẹ̀fà abẹ́rẹ́ Èbólà gba fún ìdánrawò tí Sudan strain ti Èbólà.

 

Ìròyìn rò pé, méjilélógóje ti Sudan strain ti Èbólà ti wà, maírùnléládọ̀ta ènìyàn ti jẹ́ ọlọ́rùn ní ìpè nígbàtí wọ́n ti kéde…			"
29,29.0,Africa,"
			Orílẹ̀-èdè Ethiopia Múra Sí Wíwá Àwọn Ẹlẹ́wọ̀n Tó Sálọ Látàrí Ọgbà Ẹ̀wọ̀n Tó Di Fífọ́		. 
    
				Àwọn elétò ààbò ní Gúsù ti orílẹ̀-èdè Ethiopia ti múra sí wiwí àwọn ẹlẹ́wọ̀n tó nù. Ìròyìn ròó pé ọ̀pọ̀lọpọ̀ ẹlẹ́wọ̀n ni abúlé Bule Hora, ní ibusọ̀ bàtà bi àdọ̀ta lé ní Irinwó sí Addis Ababa, ni ó sálọ léyìn ìkọ̀lù àwọn ènìyàn adihamọ́ra…			"
30,30.0,Africa,"
			Ìlú Kinshasa Ń Gbáradì Fún Àbẹ̀wò Póòpù		. 
    
				 

Àwọn ẹlẹ́sìn Kìrìstẹ́nì ní olú ìlú DR Congo -Kinshasa tí lu ọjà pa láti ra àwọn nǹkan tó ni àkọ́lé àwòrán Póòpù lára ní ìmúrasílẹ̀ fún àbẹ̀wò rẹ̀ sí ìlú wọn.

Àwọn nǹkan tí wọn ń tà lọ́jà tó ní àwòrán Pàpá Póòpù lára ló tí…			"
32,32.0,Africa,"
			Orílẹ̀ èdè Tunisia Sọ Àwọn Obìnrin Tó Ń Dá Rògbòdìyàn Sílẹ̀ Sí Ẹ̀wọ̀n		. 
    
				 

Ilé ẹjọ́ kan ni Orílẹ̀ èdè Tunisia ti sọ àwọn ikọ̀ obinrin ẹlẹ́ni mésàn án sí ẹ̀wọ̀n.

Ìròyìn ròó pé wọ́n ń gbìyànjú láti pa Mínísítà ìjọba ló fa ìdí èyí.

Àwọn Obìnrin Méjì tó jẹ́ olórí àwọn ikọ̀ náà ni wọ́n fi ẹ̀wọ̀n ọdún…			"
33,33.0,Africa,"
			Àwọn Ọlọ́pàá French Dá Afurasí Mọ́ Nínú ọkọ̀ Ojú Irin.		. 
    
				Àwọn Ọlọ́pàá orílẹ̀-èdè French tí  nawọ́  gán Afurasi kàn tó ṣe àwọn mẹ́fà ní jàmbá lẹ̀yìn gbà tí o ṣe Jìbìtì pẹ̀lú ẹrọ ayélujára ni òpópónà ọkọ ojú irin ni Paris Gare Nord

 

Àwọn Ọlọ́pàá ni ẹni ogún ọdún ni ṣe tí orúkọ rẹ njẹ…			"
34,34.0,Africa,"
			Ìjà Ukarine Àti Russian: Orílẹ̀-èdè US Fi Ẹ̀sùn kan Ilé Iṣẹ́ Kàn Ní Orílẹ̀-èdè China		. 
    
				Orílẹ̀-èdè US ti pe ilé iṣé kan ni orílẹ̀-èdè China lẹjọ láti wá ṣe sàlàyé idí tó n fí tan ohun ìjà fún orílẹ̀-èdè Ukraine.

Ni Ọjọ́bọ̀ ní àjọ tó ń mójú ohun ìní l'ágbayé ní orílẹ̀-èdè US sọ wí pé Wagner n pèsè àwọn ọmọ ogun tí ó tó…			"
41,41.0,Africa,"
			Adó Ìwakùsà Bú, Ó Pà Ènìyàn Mẹ́ta Ní Orílẹ̀-èdè Kenya		. 
    
				Àwọn àwakùsà góòlù pàdánù ẹ̀mí ènìyàn mẹ́ta ní ìgbà tí adó ìwakùsà bú ní àpá ìwọ̀ òòrùn ní Orílẹ̀-èdè Kenya.

 Ilé iṣẹ́ ìwakùsà góòlù tí Karebe (Kerebe gold mining company) sọ pé ògiri kan tí wọ́n mọ́ láti dènà Omí yalé ní agbègbè náà ní…			"
42,42.0,Africa,"
			Rwanda Bu Ẹnu Àtẹ́ Lu Bí DR Congo Se Rúfin Ojú Afẹ́fẹ́		. 
    
				Ìjọba Rwanda ti fi ẹ̀sùn kan Demlocratic Republic of Congo nípa rírú òfin ojú afẹ́fẹ́.

 

Ìròyìn fi hàn pé ọkọ̀ ogun ojú òfurufú DR Congo wọ orílẹ̀ èdè Rwanda.

 

Agbẹnusọ ìjọba orílẹ̀ èdè Rwanda,…			"
44,44.0,Africa,"
			Faransé Npè Fún Àwọn ijiroro Láàrín Tùnísíà Àtí IMF		. 
    
				Ilé-iṣẹ́ Àjèjì Ìlú Faransé tí pépé fún ijiroro láàrín àwọn aláṣẹ Tùnísíà àti (International Monetary Fund) IMF pẹ̀lú èrò láti ṣé àdéhùn tún.

 Ní àárín Oṣù Kẹwàá, IMF tí ṣé àdéhùn pẹ̀lú ìjọba Tùnísíà látí gbà láti máà tí sàn owó 1.9…			"
47,47.0,Africa,"
			Ààrẹ Orílẹ̀-èdè Tanzania Yan Gómìnà Ilé Ìfowópamọ́sí Àpapọ̀ Tuntun		. 
    
				 

Ààrẹ Orílẹ̀-èdè Tanzania, Samia Suluhu Hassan ti yan Emmanuel Tutuba gẹ́gẹ́bí Gómìnà Ilé Ìfowópamọ́sí Àpapọ̀ Tuntun ní ọ̀nà láti fi òpin sí àwọn nkàn ọrọ̀ ajé tó ń gbówó lórí.

 

Tutuba tí ó ti ń ṣiṣẹ́ bíi akọ̀wé àgbà ní…			"
48,48.0,Africa,"
			Orílẹ̀ Èdè Uganda Setán Láti Gbẹ́ Kàǹga Àgbọ́n-ọ̀n-gbẹ Epo Rọ̀bì		. 
    
				Ìjọba orílẹ̀ èdè Uganda ti setán láti gbẹ́ kàǹga epo rọ̀bì alákọ̀kọ́ọ́ irúu rẹ̀ ní pápá Kingfisher.

 

Ìrètí wà pé, ní ọdún 2025, orílẹ̀ èdè náà yóò máa pèsè àgbá epo tí ó lé ní bílíọ̀nù…			"
49,49.0,Africa,"
			Mínísítà Orílẹ̀ Èdè Rwanda Tẹ́lẹ̀ Rí Fi Ẹ̀wọ̀n Jura Látàrí Ìwà Àjẹbánu		. 
    
				Ilé ẹjọ́ gíga orílẹ̀ èdè Rwanda ti ju mínísítà tẹ́lẹ̀ rí fún orílẹ̀ èdè náà  tí ó wà fún Àṣà àti Àmójútó àwọn Ọ̀dọ́ sí ẹ̀wọ̀n ọdún márùn-ún látàrí ìwà àjẹbánu.

 

Ìròyìn fi yéwa pé, wọ́n dá…			"
50,50.0,Africa,"
			Àwọn Olùgbé Orílẹ̀-èdè Burkina Faso Ń fẹ́ Kí Ìjọba Ológun Faransé Máa Lọ		. 
    
				Àwọn ènìyàn ni orile-ede Burkina Faso ti tẹ́wọ́gba èròngbà àwọn ijọba ológun látí lè ìkọ ìjọba àwọn ológun tí Faransé dànù lórí àlééfà ki oṣù kan tó pari.

 

Oníròyìn láti orílẹ̀-èdè wọn lo ròó fáyé gbọ́ ní ọjọ́ kọkànlélógún oṣù…			"
51,51.0,Africa,"
			Ẹgbẹ́ Alátakò Ìjọba Liberia Se Ìwọ́de Ní Monrovia		. 
    
				Alátakò Ìjọba Liberia se Ìwọ́de ní ila oòrùn Monrovia.

Olùfẹ́hónù hàn ń bèrè fún ìgbésí ayé ìdẹ̀rùn látàrí ohun gbogbo tó le koko lórílẹ̀ èdè náà.

 

Ẹgbẹ́ alátakò ati Collaborating Political Parties (CPP)bù enu àtẹ́ lu ààrẹ…			"
52,52.0,Africa,"
			Wọ́n Gba Ààrẹ Tunisia Ni Ìmọràn Láti Kọ̀we Fipò Sílẹ̀ Lẹ́yìn Ìdìbò Ilé Aṣòfin		. 
    
				 

Àwọn aláṣẹ ti ètò ìdìbò ti orílẹ-èdè Tunisia ti gba ààrẹ ní ìmọràn láti Kọ̀wé fi ipò sílẹ̀ látàrí ìbò sílé aṣòfin tó kéré jojo.

 

Ìjáde àwọn ènìyàn tó dìbò kò tó ìdá mẹ́wàá nínú ọgọ́rùn ún (8.8%).

 

 …			"
54,54.0,Africa,"
			Orílẹ̀-èdè Tunisia Yan Àwọn Aṣojú Tuntun 		. 
    
				Ni ọjọ àbámẹ́ta ni àwọn ènìyàn orílẹ-èdè Tunisia jáde láti lo dibo Yan aṣoju ìgbìmò aṣòfin tó wón fé.

Àga ti ènìyàn ọgọ́rùnlélọ̀góta ni o sí silẹ fún ìdíje, leyin ti ààrẹ Láìsí Saied ṣe àkíyèsí yìí ni ìbẹ̀rẹ̀ ọdún yìí.

 

Àwọn…			"
55,55.0,Business,"
			Owó Egypt Já Wà Lẹ̀ Sí Dọ́là America		. 
    
				Owó Pọun Egypt já wá lẹ̀ sí dọla Améríkà ní 25.90 ní Ọjọ́bọ̀, èyí tó pọ̀jù láàárín ọjọ́ kàn látí ìgbà tí ilé ifowopamọ àpapọ̀ ìlú Egypt jù ọwọ́ sílẹ̀ níyè 14.5% ní ọjọ́ kẹtadinlọgbọn, Oṣù Kẹwàá, ọdún tó kọjá.

International Monetary Fund…			"
56,56.0,Africa,"
			Ìjọba Burkina Faso Pè Fún Yíyọ Asojú Ìjọba French		. 
    
				Ìjọba France sọ ní ọjọ́ Ìsẹ́gun (Tuesday) pé òun ti gba lẹ́tà láti ọwọ́ ìjọba Burkinabe nínú osù kejìlá fún ìyọkúrò asojú ìjọba ilẹ̀ French tí ó wà ní orílẹ̀ èdè náà.

 

Ìjọba Burkinabe kùnà láti…			"
58,58.0,Africa,"
			Àwọn ọmọ orílẹ̀-èdè Ethiopia ṣayẹye ọdún kérésìmesì		. 
    
				Àwọn ọmọ orílẹ̀-èdè Ethiopia yóò ṣe ayẹyẹ ọjọ́ ìbí Jésù Kírísítì lónìí,Ọjọ́bọ̀,ọjọ́ keje,oṣù kínní ọdún 2023.

Wọ́n ń pe Kérésìmesì ní Ganna (tàbí Genna) ní Ethiopia, tí wọ́n sì máa ń ṣe àjọyọ̀ rẹ̀ ní…			"
59,59.0,Africa,"
			Akọ̀wé Ilé Ìṣúra Orílẹ̀-èdè Amẹ́ríkà, Yellen Bẹ Orílẹ̀-èdè Sẹ́nẹ́ga Wo		. 
    
				 

Akọ̀wé Ilé Ìṣura Orílẹ̀-èdè Amẹ́ríkà, Janet Yellen bẹ ilé aláwọ̀ píńkìì ní ìkọjá erékùṣù ti Orílẹ̀-èdè Sẹ́nẹ́ga Wo.
Ìbẹ̀wò Yellen jẹ́ ara ìbẹ̀wò ọlọ́jọ́ mẹ́wàá pẹ̀lú èròngbà láti tù àjọṣepọ̀ ọrọ̀ ajé tó wà láàárín ilẹ̀ Amẹ́ríkà…			"
60,60.0,Africa,"
			Uganda Fí Ẹsùn Kàn Tọkọtaya Ọmọ Amẹ́ríkà Kan Lórí Fífi Ìyà Jẹ̀ Ọmọdé		. 
    
				Àwọn Ọlọ́pàá Uganda sọ pé tọkọtaya ará Amẹ́ríkà kan tí wọ́n fí ẹ̀sùn kàn án ní Uganda pẹ̀lú “ìjìyà gbígbóná janjan” tí ọmọkùnrin ọmọ ọdún mẹ́wàá tí wọ́n ti gbà ṣọmọ.

 Àwọn ọmọ ọgbọ̀n ọdún lé méjì, ní wọ́n fí ẹ̀sùn kàn ní ọjọ́ Ẹtì tí…			"
61,61.0,Africa,"
			Omíyalé Ba Dúkìá Jẹ́ Tí Ọ̀pọ̀ Ènìyàn Sì Pàdánù Ẹ̀mí Ní Orílẹ̀ Èdè DR Congo		. 
    
				Kò dín ní ènìyàn márùn ún dín lọ́gọ́ta (55) tí ó pàdánù ẹ̀mí, ogunlọ́gọ̀ ènìyàn fi ara pa nígbà tí ọ̀pọ̀lọpọ̀ dúkìá sì sòfò látàrí ẹ̀kún omi nígbà tí òjò ńlá kan rọ̀ ní Kinshana, olú ìlú orílẹ̀…			"
62,62.0,World,"
			Àjọ Aláàbò Àgbáyé Gba Ọmọ Ẹgbẹ́ Tuntun		. 
    
				Orílẹ̀ èdè bíi, Mozambique, Equador, Japan, Malta àti Switzerland darapọ̀ mọ́ àjọ aláàbò àgbáyé ( United Nation Security Council) gẹ́gẹ́ bíi ọmọ ẹgbẹ́ tuntun. Eléyìí tí yóò fún wọn ní ànfààní ọdún méjì láti jẹ́…			"
64,64.0,Africa,"
			Ikú Ènìyàn Látàrí Àìsàn Kọ́lẹ́rà Lọ Sókè Sí Ní Orílẹ̀-èdè Màláwì, Ilé Ìwé Di Títì Pa!		. 
    
				 

Orílẹ̀-èdè Malawi ti gbé ilé ìwé tì pa látàrí ọsẹ́ ikú tí àìsàn Kọ́lẹ́rà ń se ní orilẹ-ède náà.

 

Wọn kò jẹ́ kí ilé ìwé di sísí ní ìlú nlá méjì, Blantyre àti Lilongwe tó wà ní Orílẹ̀-èdè náà kí iye àwọn ènìyàn tó  ń kú…			"
65,65.0,Sport,"
			U23 AFCON : Junior Syli Stars Yóò Pàgọ́ Fún Ọ̀sẹ̀ Méjì		. 
    
				Ní́ ìmúrasílẹ̀ fún ìdíje bọ́ọ̀lu AFCON tí ọjọ́ ori wọn kò lé ní mẹ́tàlélógún lọ (U23 African Cup of Nations ) ti ìpele ìperegedé, àjọ agbábọ́ọ̀lù ilẹ̀ Guinea(Guinea Football Federation) ti ṣètò igbaradi olósẹ̀ méjì fún àwọn…			"
66,66.0,Africa,"
			Orílẹ-èdè Mauritius Àti Uk Ṣe Ìfilọ́lẹ̀ Ìfọ̀rọ̀wẹ́rọ̀ Láàrin Ara Wọn.		. 
    
				Orílẹ̀-èdè Britain àti Mauritius ti bẹ̀rẹ̀ Ìfọ̀rọ̀wẹ́rọ̀ látàrí iṣẹlẹ ìjàmbá to wáyé nípa tí ẹ̀kú omi, ààrẹ orílẹ̀-èdè Mauritius sọ èyí di mímọ̀.

Ni ìbámu pẹ̀lú ìpàdé tó wáyé láàárín orílẹ̀-èdè méjèjì ninu osù kẹsán ọdún 2022.…			"
68,68.0,Africa,"
			Ènìyàn Méjọ Ló Pàdánù Ẹ̀mi Wọn Ní Ìwò Òòrùn Orílẹ̀-èdè Congo Lẹ́yìn Ìjàmbá Ilé Mímì.		. 
    
				Ìjàmbá Ilé Mímì wáyé ni iwọ òòrun ni orílẹ̀-èdè Congo, tí ó ṣe ikú pa ènìyàn Méjọ ti àwọn ènìyàn mẹ́èsán míràn sí fi farapa, èyí di mímọ̀ láti ẹnu ará ìlú náà ní ọjọ́ àbámẹ́ta.

Àwọn tó farapa náà wà ní ipò ìrora ti wọn sì gbà ìtọ́jú ní…			"
70,0.0,Entertainment,"
			Ìgbéyàwó Ẹ̀yà kan Sí Òmíràn Máa Ń Fa Ìsọ̀kan		. 
    
				Agbẹnusọ ilé ìgbìmọ̀ asòfin Ìpínẹ̀ Nasárawa, Balarabe Abdullahi ti gba àwọn ọmọ Nàìjíríà ní ìyànjú pé, fífẹ́ ara ẹni láti inú ẹ̀yà kan sí òmíràn máa ń fa ìbágbépọ̀ àlàáfíà àtipé ó ń mú ìsọ̀kan…			"
72,2.0,Entertainment,"
			Sportify Tẹ Àtẹ̀jáde Ọ̀tun Orin Dáradára Fún Akọrin Burna Boy Pẹ̀lú Àkọ́lé ‘’ Last Last ’’		. 
    
				 

Orin náà ti àkólé rẹ̀ ń jẹ́ `ìgbẹ̀yìn Ìgbẹ̀yìn’  -  ‘’ Last Last ’’ lati ọwọ́ gbajúgbajà ònkọrin náà Damini, Ebunola Ogulu ti ìnangi rẹ̀ ńjẹ́ ` Burna Boy ‘ ti peregé ninu awo orin  ni ile Adulawo ti ẹnìkan soso…			"
76,6.0,Entertainment,"
			Òsèré Nollywood Kenneth Okonkwo Darapọ̀ Mọ́ Ẹgbẹ́ Òsèlú Labour		. 
    
				 

Òsèré Nollywood, Kenneth Okonkwo ti lọ darapọ̀ mọ́ ẹgbẹ òsèlú Labour lẹ́yìn ìgba tó ti sọ pé oùn kò se ẹgbẹ́ APC mọ́ lẹ́yìn ọ̀sẹ̀ díẹ̀.

Ó lọ sí ojú òpó instagram rẹ̀ láti se ìkéde yìí lọ́jọ́ Ọjọ́rú…			"
77,7.0,Entertainment,"
			Gbajúgbajà Òṣèré Nollywood, Kenneth Okonkwo Darapọ̀ mọ́ ẹgbẹ́ òṣèlú Labour Party		. 
    
				Ògbóhùntarìgì Òṣèré Nollywood, Kenneth Okonkwo ti darapò mọ́ ẹgbẹ́ òṣèlú Labour Party. Èyí wáyé lẹ́yìn ọ̀sẹ̀ díẹ̀ tí ó kúrò nínú ẹgbẹ́ All Progressive Congress.

O kede rẹ ni oju opo insitagiramu rẹ ni ọjọọru ti o…			"
78,8.0,Entertainment,"
			Fẹ́mi Gbàjàbíàmílà Náà Báwọn Dásí Àwo Orin ‘Bùgá’		. 
    
				Agbenusọ ti Ilé Ìgbìmọ̀ Asojú Sòfin ti Nàìjírìà náà ti báwọn dási ìpènijà ti bùgá tí ònkọrin gbajúgbajà tí a mọ̀ sí Kizz Daniel kọ tí àwon ènìyàn má ǹ gbé pòyì ẹnu nínú orin ní ọjọ́ Ọjọ́bọ̀ nígbàtí…			"
79,9.0,Entertainment,"
			Oǹkọ̀wé orílẹ̀-èdè Nàìjíríà, Olùdarí Bíyìí Bándélé di olóògbé		. 
    
				Oǹkọ̀wé orílẹ̀-èdè Nàìjíríà, Olùdarí Bíyìí Bándélé di olóògbé

Oǹkọ̀wé,olùkọ eré orí ìtàgé àti olùdarí ere Half Of a Yellow Sun àti tí ó tún jẹ́ olùdarí pẹ̀lú àwọn mìíràn fún eré Blood Sisters, Bíyìí…			"
80,10.0,Entertainment,"
			Olórin Nàìjíríà Tiwa Savage Di Aṣojú ilé-iṣẹ́ ẹ̀rọ ìbaraẹnisọ̀rọ̀ alágbẹ̀éká Tecno		. 
    
				Ògbóhùntarìgì Olórin Nàìjíríà, Tiwa Savage ti tọwọ́ bọ̀wé àdéhùn  pẹ̀lú ilé iṣẹ́ tẹlifóònù alágbèéká, Tecno.

Akọrin naa fi  si gbogbo awọn oju-opo ayelujara awujọ rẹ lati ṣe ikede oriire naa.



Ile-iṣẹ naa, ni ibẹrẹ ọsẹ to…			"
81,11.0,Entertainment,"
			Àjọ Headies kéde  Àfikún Ìṣọ̀rí mẹ́ta		. 
    
				Àjọ Headies ti sọ pé òun yóò kéde ìsọ̀rí mẹ́ta tuntun tí ó ṣẹ̀ṣẹ̀ fi kún ẹ̀ka àmìn ẹ̀yẹ fún ayẹyẹ àmìn ẹ̀yẹ náà tí yóò wáyé ní ọ̀sẹ̀ tó ń bọ̀

Ajọ naa sọ pe o ṣe ipinnu  lati ṣafiun  awọn iṣọri mẹta yii lati jẹ…			"
82,12.0,Entertainment,"
			Davidó àti  Àwọn òṣèré mìíràn yóò forin dáwọn lárayá  Níbi ayẹyẹ ọjọ́ àyájọ́…		. 
    
				Àwọn òṣèré Nàìjíríà bíi Davidó, D’banj, Mayorkun, Yẹmí Àlàdé, ti fi ìdí wíwá wọn múlẹ̀ láti ṣe eré níbi ẹ̀dà kẹta ayẹyẹ ọjọ́ àyájọ́ YúTuùbù Adúláwọ̀.

Gbajugbaja oṣere, Idris Elba ni olugbalejo lori…			"
83,13.0,Entertainment,"
			Big Brother Nàìjá ẹlẹ́ẹ̀keje bẹ̀rẹ̀ ní pẹrẹu		. 
    
				Big Brother Nàìjá ẹlẹ́ẹ̀keje bẹ̀rẹ̀ ní pẹrẹu.

Awọn oluṣeto idije naa,fihan ninu fidio gigun iṣẹju kan ti o pin lori awọn ibaraẹnisọrọ lori ayelujara rẹ,o kede pe iṣafihan ọfẹ yoo nilo, ki awọn olukopa ṣafihan fidio iṣẹju mẹta lori…			"
85,15.0,Entertainment,"
			Eré alárinrin ‘Blood Sisters’ gorí aféfẹ́		. 
    
				Àfihàn eré alárinrin àtètèkọ́ṣe ìtẹ̀lé, ‘Blood Sisters’yóò gorí afẹ́fẹ́ fún ìgbà àkọ́kọ́ lórí  Netflix.



Afihan  atilẹba akọkọ Naija Netflix ''Blood Sisters ''yoo waye loni, ọjọ karun,oṣu karun lori ohun elo…			"
86,16.0,Entertainment,"
			Akọrin Nàìjíríà, Tems kọrin pẹ̀lú Future nínú àwo tuntun rẹ̀ tó jáde		. 
    
				Èwe Olórin Nàìjíríà kan,tí orúkọ rẹ̀ ń jẹ́ Tems ti kọrin nínú àwo orin tuntun tí ó tún jẹ́ ẹlẹẹ̀kẹsàn akọrin  Amẹ́ríkà, Future, tí àkọlé rẹ̀ jẹ́ ‘I Never Liked You’,

Awo-orin naa ti o ni akọle mẹrindinlogun ni Tems ati ọmọ ilu…			"
